Event,"Date PST","Time PST","Latitude (º)","Longitude (º)","T Chla (µg/l)","Chla > 3µm (µg/l)","Chla < 3µm (%)","Chla > 3µm (%)","Sample Temp (C)","Sea Surface Temp (C)","Station Depth (m)","Sample Depth (m)",Program,"Water Collection School","Sample Analysis School","Number of Students"
190,2008-03-21,13:10:00,33.44866667,-117.7326667,2.9,2.37,18.16,81.84,15,,32,10,LS,"Pinecrest Elementary","San Bernardino High School",40
192,2008-03-31,12:50:00,33.43376667,-117.6957833,2.17,1.58,27.2,72.8,15,,40,10,LS,"MacArthur Fundamental Middle","Hermosa Elementary",39
193,2008-04-02,10:30:00,33.45483333,-117.7291667,0.9,0.16,82.24,17.76,14,,34,10,LS,"Hermosa Elementary","Fern Drive Elementary",32
194,2008-04-04,10:30:00,33.45166667,-117.7288333,1.02,0.64,36.77,63.23,14,,40,10,LS,"Fern Drive Elementary","La Veta Elementary",31
195,2008-04-11,10:00:00,33.4555,-117.7416667,3.45,1.65,52.3,47.7,14.3,,42,10,LS,"La Veta Elementary","Mira Costa College",37
196,2008-04-15,13:45:00,33.459,-117.7445,1.5,0.35,76.82,23.18,13,,64,10,AFL,"Mira Costa College","Wonderland Ave. Gifted Academy",23
197,2008-04-18,10:00:00,33.45683333,-117.7305,10.64,9.92,6.75,93.25,14.1,,33,10,SS,"Wonderland Ave. Gifted Academy","Desert Shadows Elementary",28
198,2008-04-25,13:00:00,33.44616667,-117.724,10.37,10.02,3.3,96.7,13.3,,52,10,LS,"Desert Shadows Elementary","Pio Pico Elementary",22
199,2008-04-29,07:30:00,33.4369,-117.7142167,13.71,10.77,21.46,78.54,12.7,,60,10,LIAB,"Pio Pico Elementary","Marco Forster Middle",33
200,2008-05-05,10:30:00,33.47283333,-117.7425,1.06,0.36,66.06,33.94,15.5,,40,10,LS,"Oakridge Private","Orangethorpe Elementary",33
201,2008-05-07,13:20:00,33.45533333,-117.7396667,0.66,0.25,61.68,38.32,12.3,,58,10,SS,"Orangethorpe Elementary","Sonora High School",56
202,2008-05-08,11:12:00,33.41733333,-117.7383333,1.61,0.53,67.19,32.81,17,,40,10,LS,"Sonora High School","Sunnymeadow Middle",45
203,2008-05-12,13:30:00,33.43931667,-117.7145333,4.04,2.32,42.41,57.59,18,,50,10,LS,"Sunnymeadow Middle","Nelson Elementary",33
