year1,m1,d1,average
2022,6,19,NaN
2022,6,20,NaN
2022,6,21,5.957
2022,6,22,NaN
2022,6,23,5.754
2022,6,24,NaN
2022,6,25,NaN
2022,6,26,NaN
2022,6,27,NaN
2022,6,28,2.113
2022,6,29,NaN
2022,6,30,NaN
2022,7,1,NaN
2022,7,2,1.603
2022,7,3,NaN
2022,7,4,2.265
2022,7,5,NaN
2022,7,6,NaN
2022,7,7,NaN
2022,7,8,NaN
2022,7,9,NaN
2022,7,10,NaN
2022,7,11,NaN
2022,7,12,NaN
2022,7,13,NaN
2022,7,14,NaN
2022,7,15,NaN
2022,7,16,2.6
2022,7,17,3.936
2022,7,18,NaN
2022,7,19,3.428
2022,7,20,2.786
2022,7,21,NaN
2022,7,22,NaN
2022,7,23,NaN
2022,7,24,NaN
2022,7,25,NaN
2022,7,26,NaN
2022,7,27,2.692
2022,7,28,NaN
2022,7,29,NaN
2022,7,30,NaN
2022,7,31,NaN
2022,8,1,NaN
2022,8,2,NaN
2022,8,3,NaN
2022,8,4,NaN
2022,8,5,NaN
2022,8,6,NaN
2022,8,7,5.012
2022,8,8,NaN
2022,8,9,4.365
2022,8,10,5.559
2022,8,11,6.166
2022,8,12,5.37
2022,8,13,5.957
2022,8,14,NaN
2022,8,15,NaN
2022,8,16,2.786
2022,8,17,NaN
2022,8,18,NaN
2022,8,19,5.559
2022,8,20,5.37
2022,8,21,NaN
2022,8,22,5.37
2022,8,23,3.936
2022,8,24,5.37
2022,8,25,5.012
2022,8,26,NaN
2022,8,27,NaN
2022,8,28,NaN
2022,8,29,NaN
2022,8,30,NaN
2022,8,31,NaN
2022,9,1,4.677
2022,9,2,5.957
2022,9,3,NaN
2022,9,4,NaN
2022,9,5,NaN
2022,9,6,NaN
2022,9,7,NaN
2022,9,8,NaN
2022,9,9,NaN
2022,9,10,NaN
2022,9,11,2.427
2022,9,12,NaN
2022,9,13,2.265
2022,9,14,NaN
2022,9,15,NaN
2022,9,16,NaN
2022,9,17,NaN
2022,9,18,NaN
2022,9,19,NaN
2022,9,20,3.673
2022,9,21,NaN
2022,9,22,3.09
2022,9,23,NaN
2022,9,24,NaN
2022,9,25,3.428
2022,9,26,NaN
2022,9,27,NaN
2022,9,28,NaN
2022,9,29,NaN
2022,9,30,NaN
2022,10,1,NaN
2022,10,2,3.936
2022,10,3,NaN
2022,10,4,2.985
2022,10,5,NaN
2022,10,6,NaN
2022,10,7,NaN
2022,10,8,NaN
2022,10,9,NaN
2022,10,10,NaN
2022,10,11,2.6
2022,10,12,NaN
2022,10,13,NaN
2022,10,14,NaN
2022,10,15,NaN
2022,10,16,2.512
2022,10,17,NaN
2022,10,18,NaN
2022,10,19,3.09
2022,10,20,NaN
2022,10,21,NaN
2022,10,22,NaN
2022,10,23,NaN
2022,10,24,NaN
2022,10,25,2.6
2022,10,26,NaN
2022,10,27,NaN
2022,10,28,NaN
2022,10,29,NaN
2022,10,30,NaN
2022,10,31,NaN
2022,11,1,NaN
2022,11,2,NaN
2022,11,3,NaN
2022,11,4,NaN
2022,11,5,NaN
2022,11,6,NaN
2022,11,7,NaN
2022,11,8,NaN
2022,11,9,NaN
2022,11,10,NaN
2022,11,11,NaN
2022,11,12,NaN
2022,11,13,NaN
2022,11,14,NaN
2022,11,15,NaN
2022,11,16,NaN
2022,11,17,NaN
2022,11,18,NaN
2022,11,19,NaN
2022,11,20,NaN
2022,11,21,NaN
2022,11,22,NaN
2022,11,23,NaN
2022,11,24,NaN
2022,11,25,NaN
2022,11,26,NaN
2022,11,27,NaN
2022,11,28,NaN
2022,11,29,NaN
2022,11,30,NaN
2022,12,1,NaN
2022,12,2,NaN
2022,12,3,NaN
2022,12,4,NaN
2022,12,5,NaN
2022,12,6,NaN
2022,12,7,NaN
2022,12,8,NaN
2022,12,9,NaN
2022,12,10,NaN
2022,12,11,NaN
2022,12,12,NaN
2022,12,13,NaN
2022,12,14,NaN
2022,12,15,NaN
2022,12,16,NaN
2022,12,17,NaN
2022,12,18,NaN
2022,12,19,NaN
2022,12,20,NaN
2022,12,21,NaN
2022,12,22,NaN
2022,12,23,NaN
2022,12,24,NaN
2022,12,25,NaN
2022,12,26,NaN
2022,12,27,NaN
2022,12,28,NaN
2022,12,29,NaN
2022,12,30,NaN
2022,12,31,NaN
2023,1,1,NaN
2023,1,2,NaN
2023,1,3,NaN
2023,1,4,NaN
2023,1,5,NaN
2023,1,6,NaN
2023,1,7,NaN
2023,1,8,NaN
2023,1,9,NaN
2023,1,10,NaN
2023,1,11,NaN
