yyyy, mm, dd,lat,lon,chla
2014,8,1,36.5677,-0.7344,0.124451
2014,8,1,36.5677,-0.724,0.124451
2014,8,1,36.5677,-0.7135,0.124451
2014,8,1,36.5677,-0.7031,0.124451
2014,8,1,36.5677,-0.6927,0.124451
2014,8,1,36.5677,-0.6823,0.124451
2014,8,1,36.5677,-0.6719,0.124451
2014,8,1,36.5573,-1.0052,0.112202
2014,8,1,36.5573,-0.9948,0.108393
2014,8,1,36.5573,-0.9844,0.112202
2014,8,1,36.5573,-0.974,0.112202
2014,8,1,36.5573,-0.9635,0.116145
2014,8,1,36.5573,-0.9531,0.116145
2014,8,1,36.5573,-0.9427,0.116145
2014,8,1,36.5573,-0.9323,0.120226
2014,8,1,36.5573,-0.9219,0.120226
2014,8,1,36.5573,-0.9115,0.120226
2014,8,1,36.5573,-0.901,0.120226
2014,8,1,36.5573,-0.8906,0.124451
2014,8,1,36.5573,-0.8802,0.128825
2014,8,1,36.5573,-0.8698,0.128825
2014,8,1,36.5573,-0.8594,0.124451
2014,8,1,36.5573,-0.849,0.128825
2014,8,1,36.5573,-0.8385,0.128825
2014,8,1,36.5573,-0.8281,0.128825
2014,8,1,36.5573,-0.8177,0.128825
2014,8,1,36.5573,-0.8073,0.128825
2014,8,1,36.5573,-0.7969,0.128825
2014,8,1,36.5573,-0.7865,0.128825
2014,8,1,36.5573,-0.776,0.128825
2014,8,1,36.5573,-0.7656,0.124451
2014,8,1,36.5573,-0.7552,0.124451
2014,8,1,36.5573,-0.7448,0.128825
2014,8,1,36.5573,-0.7344,0.124451
2014,8,1,36.5573,-0.724,0.120226
2014,8,1,36.5573,-0.7135,0.124451
2014,8,1,36.5573,-0.7031,0.120226
2014,8,1,36.5573,-0.6927,0.124451
2014,8,1,36.5573,-0.6823,0.120226
2014,8,1,36.5573,-0.6719,0.120226
2014,8,1,36.5469,-1.0052,0.108393
2014,8,1,36.5469,-0.9948,0.108393
2014,8,1,36.5469,-0.9844,0.112202
2014,8,1,36.5469,-0.974,0.112202
2014,8,1,36.5469,-0.9635,0.116145
2014,8,1,36.5469,-0.9531,0.116145
2014,8,1,36.5469,-0.9427,0.116145
2014,8,1,36.5469,-0.9323,0.120226
2014,8,1,36.5469,-0.9219,0.124451
2014,8,1,36.5469,-0.9115,0.124451
2014,8,1,36.5469,-0.901,0.120226
